celex,readable_name,cluster_id,cluster_name
31999L0002,Irradiated Food Directive [Directive 1999/2/EC],19,Other
31999L0004,Directive 1999/4/EC,19,Other
31999L0005,Directive 1999/5/EC,19,Other
31999L0013,Solvents Emissions Directive [Directive 1999/13/EC],19,Other
31999L0031,Landfill Directive [Directive 1999/31/EC],19,Other
31999L0034,Liability For Defective Products Directive [Directive 1999/34/EC],19,Other
31999L0037,Council Directive 1999/37/EC,19,Other
31999L0042,Directive 1999/42/EC,19,Other
31999L0044,Consumer Sales and Guarantees Directive [Directive 1999/44/EC],19,Other
31999L0045,Dangerous Preparations Directive [Directive 1999/45/EC],19,Other
31999L0070,Fixed-Term Work Directive [Council Directive 1999/70/EC],19,Other
31999L0074,Laying Hens Directive [Directive 1999/74/EC],19,Other
31999L0093,Electronic Signatures Directive [Directive 1999/93/EC],19,Other
31999L0094,Car Labelling Directive [Directive 1999/94/EC],19,Other
31999R0307,Regulation (EC) No 307/1999,19,Other
31999R0659,Regulation (EC) No 659/1999,19,Other
31999R0807,Regulation (EC) No 807/1999,19,Other
31999R0856,Regulation (EC) No 856/1999,19,Other
31999R1073,OLAF Regulation [Regulation (EC) No 1073/1999],19,Other
31999R1399,Council Regulation (EC) No 1399/1999,19,Other
31999R2157,Regulation (EC) No 2157/1999,19,Other
32000L0031,eCommerce Directive [Directive 2000/31/EC] [amended by DSA],2,Platform Regulation & Digital Markets
32000L0043,Racial Equality Directive [Directive 2000/43/EC],19,Other
32000L0076,Waste Incineration Directive [Directive 2000/76/EC],19,Other
32000L0078,Employment Equality Directive [Council Directive 2000/78/EC],19,Other
32000R0104,Regulation (EC) No 104/2000,19,Other
32000R0141,Orphan Medicines Regulation [Regulation (EC) No 141/2000],19,Other
32000R1346,Insolvency Regulation [Regulation (EC) No 1346/2000],19,Other
32000R1348,Regulation (EC) No 1348/2000,19,Other
32000R2725,Eurodac Regulation [Regulation (EC) No 2725/2000],19,Other
32001L0014,Directive 2001/14/EC,19,Other
32001L0020,Clinical Trials Directive [Directive 2001/20/EC] [repealed by CTR],19,Other
32001L0023,Acquired Rights Directive [Directive 2001/23/EC],19,Other
32001L0024,Winding Up Directive [Directive 2001/24/EC],19,Other
32001L0029,Copyright InfoSoc Directive [Directive 2001/29/EC],3,"Digital Content, Media & Copyright"
32001L0034,Directive 2001/34/EC,19,Other
32001L0037,Tobacco Products Directive [Directive 2001/37/EC],19,Other
32001L0055,Temporary Protection Directive [Directive 2001/55/EC],19,Other
32001L0082,Directive 2001/82/EC,19,Other
32001L0083,Medicines Directive [Directive 2001/83/EC],19,Other
32001L0095,General Product Safety Directive [Directive 2001/95/EC],19,Other
32001L0112,Directive 2001/112/EC,19,Other
32001R0044,Brussels I [Council Regulation (EC) No 44/2001] [repealed by Brussels I Recast],19,Other
32001R0045,EU Institutions Data Protection Regulation [Regulation (EC) No 45/2001],19,Other
32001R0539,Visa List Regulation [Regulation (EC) No 539/2001],19,Other
32001R0789,Regulation (EC) No 789/2001,19,Other
32001R0999,TSE Regulation [Regulation (EC) No 999/2001],19,Other
32001R1037,Regulation (EC) No 1037/2001,19,Other
32001R1049,ATDR - Access To Documents Regulation [Regulation (EC) No 1049/2001],19,Other
32001R1206,Evidence Taking Regulation [Regulation (EC) No 1206/2001],19,Other
32001R1386,Regulation (EC) No 1386/2001,19,Other
32001R1936,Regulation (EC) No 1936/2001,19,Other
32001R2580,Regulation (EC) No 2580/2001,19,Other
32002D0348,Decision 2002/348/JHA,9,Criminal Justice & Fundamental Rights
32002F0465,Council Framework Decision 2002/465,9,Criminal Justice & Fundamental Rights
32002F0475,Council Framework Decision 2002/475 on combating terrorism,9,Criminal Justice & Fundamental Rights
32002L0014,Information and Consultation Directive [Directive 2002/14/EC],19,Other
32002L0019,Access Directive [Directive 2002/19/EC],19,Other
32002L0020,Authorisation Directive 2002/20/EC [repealed by Directive (EU) 2018/1972],19,Other
32002L0021,Framework Directive [Directive 2002/21/EC] [no longer in force],19,Other
32002L0022,Universal Service Directive [Directive 2002/22/EC] [repealed by EECC],19,Other
32002L0044,Vibration Directive [Directive 2002/44/EC],19,Other
32002L0047,Financial Collateral Directive [Directive 2002/47/EC],19,Other
32002L0058,ePrivacy Directive [Directive 2002/58/EC],0,Data Protection & Privacy
32002L0059,Vessel Traffic Monitoring Directive [Directive 2002/59/EC],19,Other
